Player	Team	Games	Position	TurnoverPct	ReboundPct	AssistPct	FieldGoalPct
Marcus Georges-Hunt	ORL	5	SG	14.9	10.2	8.3	28.599999999999998
Jonathan Gibson	DAL	17	PG	16.3	5.5	18.8	36.8
Taj Gibson	TOT	78	PF	11.9	13.2	5.9	51.5
Taj Gibson	CHI	55	PF	11.7	13.7	6.5	52.1
Taj Gibson	OKC	23	PF	12.5	11.7	4.2	49.7
Manu Ginobili	SAS	69	SG	16.5	6.9	20.8	39
Rudy Gobert	UTA	81	C	15.1	21.8	5.7	66.2
Archie Goodwin	TOT	15	SG	14.2	6.9	18.5	54.50000000000001
Archie Goodwin	NOP	3	SG	0	0	4.5	40
Archie Goodwin	BRK	12	SG	15.7	8.1	20.8	55.7
Aaron Gordon	ORL	80	SF	8.5	9.6	10.5	45.4
Eric Gordon	HOU	75	SG	10	4.7	12.3	40.6
Marcin Gortat	WAS	82	C	13.7	18.7	6.8	57.9
Treveon Graham	CHO	27	SG	6	6.4	4.7	47.5
Jerami Grant	TOT	80	SF	10.1	7.4	4.2	46.300000000000004
Jerami Grant	PHI	2	SF	12.8	9.4	0	35.3
Jerami Grant	OKC	78	SF	9.9	7.4	4.3	46.9
Jerian Grant	CHI	63	PG	11.7	5.8	17.3	42.5
Danny Green	SAS	68	SG	14.1	7	9.6	39.2
Draymond Green	GSW	76	PF	19.8	13.3	27.6	41.8
Gerald Green	BOS	47	SF	9.1	8.8	9.8	40.9
JaMychal Green	MEM	77	PF	14.1	14.8	6.3	50
Jeff Green	ORL	69	PF	10.6	7.6	8.1	39.4
Blake Griffin	LAC	61	PF	10.9	13.4	24.5	49.3
Justin Hamilton	BRK	64	C	9.7	11.8	7.3	45.9
A.J. Hammons	DAL	22	C	16.4	12.8	3.8	40.5
Tim Hardaway	ATL	79	SG	9.5	5.7	14.3	45.5
James Harden	HOU	81	PG	19.5	12.2	50.7	44
Maurice Harkless	POR	77	SF	11.1	8.5	6	50.3
Justin Harper	PHI	3	PF	25	8.9	10.5	41.699999999999996
Montrezl Harrell	HOU	58	C	9.9	11.2	9.6	65.2
Devin Harris	DAL	65	PG	12.5	6.8	20	39.900000000000006
Gary Harris	DEN	57	SG	9.8	5.5	13.6	50.2
Joe Harris	BRK	52	SG	12.5	6.8	7.3	42.5
Manny Harris	DAL	4	SG	10.7	20.9	12.7	20
Tobias Harris	DET	82	PF	7.6	8.8	8.8	48.1
Aaron Harrison	CHO	5	SG	0	9.7	22.6	0
Andrew Harrison	MEM	72	PG	16	5.3	20	32.5
Udonis Haslem	MIA	17	C	21.3	15.3	6.4	47.8
Spencer Hawes	TOT	54	PF	14	13.4	16.5	48.4
Spencer Hawes	CHO	35	PF	14.7	12.8	16.1	47.699999999999996
Spencer Hawes	MIL	19	PF	11.9	15.3	17.7	50.8
Gordon Hayward	UTA	73	SF	9.4	9	18.2	47.099999999999994
Gerald Henderson	PHI	72	SG	9	6.1	10.5	42.3
John Henson	MIL	58	C	13	15.3	7.7	51.5
Juan Hernangomez	DEN	62	PF	10.7	12.3	4.7	45.1
Willy Hernangomez	NYK	72	C	16.1	20.4	11.5	52.900000000000006
Mario Hezonja	ORL	65	SF	14.1	8.3	9.6	35.5
Roy Hibbert	TOT	48	C	15.1	12.4	4.6	54.400000000000006
Roy Hibbert	CHO	42	C	14.9	12.5	4.5	54.2
Roy Hibbert	DEN	6	C	25	10	13.5	66.7
Buddy Hield	TOT	82	SG	11.2	7.8	10.3	42.6
Buddy Hield	NOP	57	SG	9	7.5	10.3	39.2
Buddy Hield	SAC	25	SG	14.4	8.2	10.3	48
Nene Hilario	HOU	67	C	13.1	12.8	8.6	61.7
George Hill	UTA	49	PG	10.9	6.2	22.6	47.699999999999996
Jordan Hill	MIN	7	C	22.4	17.4	0	38.5
Solomon Hill	NOP	80	SF	13.3	6.8	8.1	38.4
Darrun Hilliard	DET	39	SG	16.8	4.7	12.3	37.3
Jrue Holiday	NOP	67	PG	16.7	6.4	35.9	45.300000000000004
Justin Holiday	NYK	82	SG	10.3	7.4	9.2	43.3
Rondae Hollis-Jefferson	BRK	78	SF	15.1	13.6	13.4	43.4
Richaun Holmes	PHI	57	C	10.7	14.4	8.3	55.800000000000004
